index,Date,Region,Thermal Generation Actual (in MW),Thermal Generation Estimated (in MW),Nuclear Generation Actual (in MW),Nuclear Generation Estimated (in MW),Hydro Generation Actual (in MW),Hydro Generation Estimated (in MW)
725,24/1/2018,NorthEastern,31.88,31.83,,,11.28,7.58
726,25/1/2018,Northern,613.98,644.94,30.31,32.11,96.18,97.76
727,25/1/2018,Western,1119.83,1214.98,25.19,26.19,41.22,22.58
728,25/1/2018,Southern,636.46,596.86,45.38,65.11,70.04,59.37
729,25/1/2018,Eastern,486.42,491.14,,,21.76,24.93
730,25/1/2018,NorthEastern,31.88,31.95,,,11.28,7.57
731,26/1/2018,Northern,619.27,608.45,30.31,32.28,96.18,92.75
732,26/1/2018,Western,1123.66,1158.43,25.19,26.19,41.22,11.53
733,26/1/2018,Southern,636.46,567.09,45.38,64.70,70.04,48.46
734,26/1/2018,Eastern,486.42,471.99,,,21.76,21.15
735,26/1/2018,NorthEastern,31.88,30.49,,,11.28,8.22
736,27/1/2018,Northern,619.27,629.54,30.31,32.19,96.18,92.95
737,27/1/2018,Western,1127.26,1169.33,25.19,26.19,41.22,19.06
738,27/1/2018,Southern,636.46,591.65,45.38,66.04,70.04,55.74
739,27/1/2018,Eastern,483.54,481.14,,,21.76,22.94
740,27/1/2018,NorthEastern,31.88,32.40,,,11.28,8.21
741,28/1/2018,Northern,622.18,612.51,30.31,32.22,96.18,92.95
742,28/1/2018,Western,1127.26,1185.44,25.19,26.19,41.22,16.76
743,28/1/2018,Southern,636.46,568.36,45.38,71.56,70.04,43.99
744,28/1/2018,Eastern,483.54,484.25,,,21.76,22.39
745,28/1/2018,NorthEastern,31.88,32.71,,,11.28,8.28
746,29/1/2018,Northern,622.18,644.05,30.31,32.28,96.18,95.11
747,29/1/2018,Western,1127.26,1198.62,25.19,26.14,41.22,18.84
748,29/1/2018,Southern,640.29,586.52,45.38,74.56,70.04,52.86
749,29/1/2018,Eastern,483.54,483.73,,,21.76,23.58
750,29/1/2018,NorthEastern,31.88,28.29,,,11.28,8.01
751,30/1/2018,Northern,622.18,636.39,30.31,32.08,96.18,93.42
752,30/1/2018,Western,1127.26,1210.60,25.19,26.14,41.22,18.17
753,30/1/2018,Southern,640.29,574.39,45.38,73.78,70.04,60.06
754,30/1/2018,Eastern,483.54,476.47,,,21.76,22.26
755,30/1/2018,NorthEastern,31.88,33.29,,,11.28,7.38
756,31/1/2018,Northern,626.18,643.76,30.31,32.06,96.18,93.48
757,31/1/2018,Western,1127.26,1193.56,25.19,26.22,41.22,17.68
758,31/1/2018,Southern,640.29,574.81,45.38,71.16,70.04,59.10
759,31/1/2018,Eastern,483.54,497.16,,,21.76,20.99
760,31/1/2018,NorthEastern,31.88,34.13,,,11.28,7.57
761,1/2/2018,Northern,611.46,635.44,30.36,32.00,109.45,95.30
762,1/2/2018,Western,1143.81,1202.72,25.14,26.19,40.94,24.39
763,1/2/2018,Southern,642.31,571.51,45.43,70.46,82.80,41.16
764,1/2/2018,Eastern,489.39,507.35,,,25.10,19.21
765,1/2/2018,NorthEastern,31.93,33.47,,,10.24,6.97
766,2/2/2018,Northern,611.46,650.47,30.36,31.86,109.45,96.39
767,2/2/2018,Western,1143.81,1214.09,25.14,26.15,40.94,20.11
768,2/2/2018,Southern,642.31,568.66,45.43,70.27,82.80,46.99
769,2/2/2018,Eastern,489.39,499.88,,,25.10,20.99
770,2/2/2018,NorthEastern,31.93,33.76,,,10.24,6.78
771,3/2/2018,Northern,611.46,631.03,30.36,31.52,109.45,93.06
772,3/2/2018,Western,1149.12,1217.42,25.14,26.07,40.94,20.93
773,3/2/2018,Southern,642.31,554.89,45.43,70.31,82.80,48.20
774,3/2/2018,Eastern,485.39,492.35,,,25.10,25.11
775,3/2/2018,NorthEastern,31.93,34.41,,,10.24,6.28
776,4/2/2018,Northern,611.46,600.66,30.36,32.05,109.45,93.65
777,4/2/2018,Western,1149.12,1192.48,25.14,26.23,40.94,16.63
778,4/2/2018,Southern,642.31,518.87,45.43,70.32,82.80,35.04
779,4/2/2018,Eastern,485.39,474.38,,,25.10,21.00
780,4/2/2018,NorthEastern,31.93,32.97,,,10.24,7.39
781,5/2/2018,Northern,611.46,621.07,30.36,32.05,109.45,95.34
782,5/2/2018,Western,1149.12,1220.83,25.14,26.19,40.94,16.65
783,5/2/2018,Southern,642.31,558.40,45.43,71.14,82.80,42.26
784,5/2/2018,Eastern,485.39,482.33,,,25.10,25.09
785,5/2/2018,NorthEastern,31.93,34.31,,,10.24,7.66
