index,Date,Region,Thermal Generation Actual (in MW),Thermal Generation Estimated (in MW),Thermal Generation Estimation Error
884,25/2/2018,Eastern,490.85,532.18,41.33
885,25/2/2018,NorthEastern,31.93,32.55,0.62
886,26/2/2018,Northern,632.25,614.35,-17.9
887,26/2/2018,Western,1169.43,1181.85,12.42
888,26/2/2018,Southern,650.74,635.58,-15.16
889,26/2/2018,Eastern,490.85,533.87,43.02
890,26/2/2018,NorthEastern,31.93,31.1,-0.83
891,27/2/2018,Northern,632.25,635.76,3.51
892,27/2/2018,Western,1169.43,1195.82,26.39
893,27/2/2018,Southern,650.74,638.18,-12.56
894,27/2/2018,Eastern,495.35,543.05,47.7
895,27/2/2018,NorthEastern,31.93,30.67,-1.26
896,28/2/2018,Northern,634.75,661.54,26.79
897,28/2/2018,Western,1169.43,1194.22,24.79
898,28/2/2018,Southern,650.74,659.82,9.08
899,28/2/2018,Eastern,499.35,543.69,44.34
900,28/2/2018,NorthEastern,31.93,34.11,2.18
901,1/3/2018,Northern,635.26,654.47,19.21
902,1/3/2018,Western,1175.98,1186.85,10.87
903,1/3/2018,Southern,649.52,662.08,12.56
904,1/3/2018,Eastern,505.24,536.02,30.78
905,1/3/2018,NorthEastern,31.96,33.97,2.01
906,2/3/2018,Northern,635.26,554.5,-80.76
907,2/3/2018,Western,1175.98,1092.98,-83
908,2/3/2018,Southern,649.52,630.75,-18.77
909,2/3/2018,Eastern,505.24,490.72,-14.52
910,2/3/2018,NorthEastern,31.96,31.28,-0.68
911,3/3/2018,Northern,637.13,542.8,-94.33
912,3/3/2018,Western,1175.98,1111.5,-64.48
913,3/3/2018,Southern,649.52,646.83,-2.69
914,3/3/2018,Eastern,505.24,492.22,-13.02
915,3/3/2018,NorthEastern,31.96,30.87,-1.09
916,4/3/2018,Northern,637.13,562.84,-74.29
917,4/3/2018,Western,1175.98,1162.4,-13.58
918,4/3/2018,Southern,649.52,639.72,-9.8
919,4/3/2018,Eastern,505.24,523.06,17.82
920,4/3/2018,NorthEastern,31.96,31.91,-0.05
921,5/3/2018,Northern,636.48,610.22,-26.26
922,5/3/2018,Western,1175.98,1173.44,-2.54
923,5/3/2018,Southern,649.52,650.26,0.74
924,5/3/2018,Eastern,501.14,526.63,25.49
925,5/3/2018,NorthEastern,31.96,33.13,1.17
926,6/3/2018,Northern,635.83,647.31,11.48
927,6/3/2018,Western,1175.98,1189.26,13.28
928,6/3/2018,Southern,649.52,652.52,3
929,6/3/2018,Eastern,501.14,520.24,19.1
930,6/3/2018,NorthEastern,31.96,33.34,1.38
931,7/3/2018,Northern,632.55,648.77,16.22
932,7/3/2018,Western,1175.98,1169.49,-6.49
933,7/3/2018,Southern,649.52,660.37,10.85
934,7/3/2018,Eastern,501.14,545.88,44.74
935,7/3/2018,NorthEastern,31.96,33.68,1.72
936,8/3/2018,Northern,631.9,642.28,10.38
937,8/3/2018,Western,1175.98,1193.83,17.85
938,8/3/2018,Southern,649.52,666.1,16.58
939,8/3/2018,Eastern,501.14,544.58,43.44
940,8/3/2018,NorthEastern,31.96,33.78,1.82
941,9/3/2018,Northern,631.9,633.01,1.11
942,9/3/2018,Western,1175.98,1155.59,-20.39
943,9/3/2018,Southern,649.52,704.3,54.78
944,9/3/2018,Eastern,501.14,541.05,39.91
945,9/3/2018,NorthEastern,31.96,34.02,2.06
946,10/3/2018,Northern,631.9,640.62,8.72
947,10/3/2018,Western,1175.98,1163.68,-12.3
948,10/3/2018,Southern,649.52,687.98,38.46
949,10/3/2018,Eastern,501.14,546.67,45.53
950,10/3/2018,NorthEastern,31.96,33.95,1.99
951,11/3/2018,Northern,635.05,670.46,35.41
952,11/3/2018,Western,1175.98,1128.53,-47.45
953,11/3/2018,Southern,649.52,653.75,4.23
954,11/3/2018,Eastern,501.14,540.23,39.09
955,11/3/2018,NorthEastern,31.96,33.85,1.89
956,12/3/2018,Northern,635.75,690.77,55.02
957,12/3/2018,Western,1175.98,1145.06,-30.92
958,12/3/2018,Southern,649.52,678.51,28.99
959,12/3/2018,Eastern,501.14,544.48,43.34
960,12/3/2018,NorthEastern,31.96,32.82,0.86
961,13/3/2018,Northern,628.85,679.83,50.98
962,13/3/2018,Western,1175.98,1153.09,-22.89
963,13/3/2018,Southern,649.52,688.03,38.51
964,13/3/2018,Eastern,501.14,550.22,49.08
965,13/3/2018,NorthEastern,31.96,32.33,0.37
966,14/3/2018,Northern,618.7,673.49,54.79
967,14/3/2018,Western,1175.98,1135.08,-40.9
968,14/3/2018,Southern,649.52,690.52,41
969,14/3/2018,Eastern,501.14,549.61,48.47
970,14/3/2018,NorthEastern,31.96,32.86,0.9
971,15/3/2018,Northern,618.09,685.94,67.85
972,15/3/2018,Western,1175.98,1161.16,-14.82
973,15/3/2018,Southern,649.52,694.23,44.71
974,15/3/2018,Eastern,501.14,545.39,44.25
975,15/3/2018,NorthEastern,31.96,34.58,2.62
976,16/3/2018,Northern,617.44,683.89,66.45
977,16/3/2018,Western,1175.98,1192.38,16.4
978,16/3/2018,Southern,649.52,665.35,15.83
979,16/3/2018,Eastern,501.14,523.13,21.99
980,16/3/2018,NorthEastern,31.96,32.97,1.01
981,17/3/2018,Northern,618.09,657.68,39.59
982,17/3/2018,Western,1175.98,1189.33,13.35
983,17/3/2018,Southern,649.52,591.9,-57.62
984,17/3/2018,Eastern,501.14,505.9,4.76
985,17/3/2018,NorthEastern,31.96,32.72,0.76
986,18/3/2018,Northern,618.09,642.37,24.28
987,18/3/2018,Western,1175.98,1142.17,-33.81
988,18/3/2018,Southern,649.52,627.71,-21.81
989,18/3/2018,Eastern,501.14,497.02,-4.12
990,18/3/2018,NorthEastern,31.96,31.58,-0.38
991,19/3/2018,Northern,618.74,664.57,45.83
992,19/3/2018,Western,1175.98,1161.32,-14.66
993,19/3/2018,Southern,649.52,655.58,6.06
994,19/3/2018,Eastern,501.14,515.32,14.18
995,19/3/2018,NorthEastern,31.96,33.04,1.08
996,20/3/2018,Northern,619.39,664.76,45.37
997,20/3/2018,Western,1175.98,1191.97,15.99
998,20/3/2018,Southern,649.52,675.82,26.3
999,20/3/2018,Eastern,501.14,507.57,6.43
1000,20/3/2018,NorthEastern,31.96,33.37,1.41
1001,21/3/2018,Northern,623.37,643.01,19.64
1002,21/3/2018,Western,1175.98,1183.09,7.11
1003,21/3/2018,Southern,649.52,691.93,42.41
1004,21/3/2018,Eastern,501.14,502.22,1.08
1005,21/3/2018,NorthEastern,31.96,34.43,2.47
1006,22/3/2018,Northern,624.02,646.41,22.39
1007,22/3/2018,Western,1179.18,1210.24,31.06
1008,22/3/2018,Southern,649.52,694.15,44.63
1009,22/3/2018,Eastern,501.14,518.01,16.87
1010,22/3/2018,NorthEastern,31.96,35.09,3.13
1011,23/3/2018,Northern,624.02,651.19,27.17
1012,23/3/2018,Western,1179.18,1222.6,43.42
1013,23/3/2018,Southern,649.52,702.2,52.68
1014,23/3/2018,Eastern,501.14,527.94,26.8
1015,23/3/2018,NorthEastern,31.96,35.2,3.24
1016,24/3/2018,Northern,624.02,637.74,13.72
1017,24/3/2018,Western,1179.18,1223.81,44.63
1018,24/3/2018,Southern,649.52,715.62,66.1
1019,24/3/2018,Eastern,501.14,529.56,28.42
1020,24/3/2018,NorthEastern,31.96,33.95,1.99
1021,25/3/2018,Northern,624.02,599.15,-24.87
1022,25/3/2018,Western,1179.18,1207.06,27.88
1023,25/3/2018,Southern,649.52,677.37,27.85
1024,25/3/2018,Eastern,501.14,531.14,30
1025,25/3/2018,NorthEastern,31.96,33.76,1.8
1026,26/3/2018,Northern,624.02,635.47,11.45
1027,26/3/2018,Western,1179.18,1240.15,60.97
1028,26/3/2018,Southern,649.52,699.4,49.88
1029,26/3/2018,Eastern,505.24,544.38,39.14
1030,26/3/2018,NorthEastern,31.96,33.05,1.09
1031,27/3/2018,Northern,624.67,634.68,10.01
1032,27/3/2018,Western,1179.18,1254.28,75.1
1033,27/3/2018,Southern,649.52,717.22,67.7
1034,27/3/2018,Eastern,505.24,546.76,41.52
1035,27/3/2018,NorthEastern,31.96,32.89,0.93
1036,28/3/2018,Northern,624.67,656.12,31.45
1037,28/3/2018,Western,1179.18,1239.47,60.29
1038,28/3/2018,Southern,649.52,746.79,97.27
1039,28/3/2018,Eastern,505.24,559.96,54.72
1040,28/3/2018,NorthEastern,31.96,32.4,0.44
1041,29/3/2018,Northern,625.32,649.8,24.48
1042,29/3/2018,Western,1179.18,1281.13,101.95
1043,29/3/2018,Southern,649.52,738.67,89.15
1044,29/3/2018,Eastern,505.24,553.61,48.37
1045,29/3/2018,NorthEastern,31.96,28.25,-3.71
1046,30/3/2018,Northern,625.97,633.74,7.77
1047,30/3/2018,Western,1179.18,1274.69,95.51
1048,30/3/2018,Southern,649.52,708.86,59.34
1049,30/3/2018,Eastern,505.24,530.74,25.5
1050,30/3/2018,NorthEastern,31.96,26.59,-5.37
1051,31/3/2018,Northern,628.5,599.11,-29.39
1052,31/3/2018,Western,1179.18,1243.68,64.5
1053,31/3/2018,Southern,649.52,664.82,15.3
1054,31/3/2018,Eastern,505.24,509.54,4.3
1055,31/3/2018,NorthEastern,31.96,28.32,-3.64
1056,1/4/2018,Northern,657.76,552.66,-105.1
1057,1/4/2018,Western,1230.81,1213.69,-17.12
1058,1/4/2018,Southern,650.59,639.99,-10.6
1059,1/4/2018,Eastern,471.76,487.76,16
1060,1/4/2018,NorthEastern,30.25,30.37,0.12
1061,2/4/2018,Northern,657.76,600.38,-57.38
1062,2/4/2018,Western,1230.81,1220.85,-9.96
1063,2/4/2018,Southern,650.59,629.28,-21.31
1064,2/4/2018,Eastern,471.76,491.98,20.22
1065,2/4/2018,NorthEastern,30.25,29.72,-0.53
1066,3/4/2018,Northern,682.27,634.5,-47.77
1067,3/4/2018,Western,1230.81,1223.12,-7.69
1068,3/4/2018,Southern,650.59,689.5,38.91
1069,3/4/2018,Eastern,471.76,532.32,60.56
1070,3/4/2018,NorthEastern,30.25,29.9,-0.35
1071,4/4/2018,Northern,682.27,662.82,-19.45
1072,4/4/2018,Western,1230.81,1222.3,-8.51
1073,4/4/2018,Southern,650.59,697.41,46.82
1074,4/4/2018,Eastern,471.76,539.86,68.1
1075,4/4/2018,NorthEastern,30.25,30.44,0.19
1076,5/4/2018,Northern,638.68,635.3,-3.38
1077,5/4/2018,Western,1228.4,1243.93,15.53
1078,5/4/2018,Southern,643.73,697.37,53.64
1079,5/4/2018,Eastern,464.13,539.21,75.08
1080,5/4/2018,NorthEastern,30.25,30.31,0.06
1081,6/4/2018,Northern,640.97,618.14,-22.83
1082,6/4/2018,Western,1230.81,1241.81,11
1083,6/4/2018,Southern,650.59,706.91,56.32
1084,6/4/2018,Eastern,457.96,536.52,78.56
1085,6/4/2018,NorthEastern,30.25,30.51,0.26
1086,7/4/2018,Northern,640.97,555.83,-85.14
1087,7/4/2018,Western,1230.81,1256.06,25.25
1088,7/4/2018,Southern,650.59,662.33,11.74
1089,7/4/2018,Eastern,457.96,528.48,70.52
1090,7/4/2018,NorthEastern,30.25,25.17,-5.08
1091,8/4/2018,Northern,640.97,559.83,-81.14
1092,8/4/2018,Western,1230.81,1222.73,-8.08
1093,8/4/2018,Southern,650.59,596.17,-54.42
1094,8/4/2018,Eastern,457.96,484.06,26.1
1095,8/4/2018,NorthEastern,30.25,24.23,-6.02
1096,9/4/2018,Northern,640.97,532.72,-108.25
1097,9/4/2018,Western,1230.81,1266.79,35.98
1098,9/4/2018,Southern,650.59,638.68,-11.91
1099,9/4/2018,Eastern,457.96,513.26,55.3
1100,9/4/2018,NorthEastern,30.25,23.07,-7.18
1101,10/4/2018,Northern,635.21,561.19,-74.02
1102,10/4/2018,Western,1230.81,1276.35,45.54
1103,10/4/2018,Southern,650.59,670.18,19.59
1104,10/4/2018,Eastern,457.96,507.13,49.17
1105,10/4/2018,NorthEastern,30.25,25.18,-5.07
1106,11/4/2018,Northern,637.57,527.89,-109.68
1107,11/4/2018,Western,1230.81,1254.86,24.05
1108,11/4/2018,Southern,650.59,670.91,20.32
1109,11/4/2018,Eastern,457.96,521.72,63.76
1110,11/4/2018,NorthEastern,30.25,29.17,-1.08
1111,12/4/2018,Northern,635.07,524.66,-110.41
1112,12/4/2018,Western,1230.81,1230.68,-0.13
1113,12/4/2018,Southern,650.59,679.75,29.16
1114,12/4/2018,Eastern,457.96,514.01,56.05
1115,12/4/2018,NorthEastern,30.25,30.66,0.41
1116,13/4/2018,Northern,635.07,564.95,-70.12
1117,13/4/2018,Western,1228.03,1259.05,31.02
1118,13/4/2018,Southern,650.59,678.86,28.27
1119,13/4/2018,Eastern,457.96,511.87,53.91
1120,13/4/2018,NorthEastern,30.25,30.2,-0.05
1121,14/4/2018,Northern,634.85,575.03,-59.82
1122,14/4/2018,Western,1221.34,1249.04,27.7
1123,14/4/2018,Southern,650.59,668.5,17.91
1124,14/4/2018,Eastern,457.96,524.46,66.5
1125,14/4/2018,NorthEastern,30.25,30.7,0.45
1126,15/4/2018,Northern,633.45,569.61,-63.84
1127,15/4/2018,Western,1221.34,1239.95,18.61
