index,Date,Region,Thermal Generation Actual (in MW),Thermal Generation Estimated (in MW),Thermal Generation Estimation Error,Nuclear Generation Actual (in MW),Nuclear Generation Estimated (in MW),Nuclear Generation Estimation Error,Hydro Generation Actual (in MW),Hydro Generation Estimated (in MW),Hydro Generation Estimation Error
681,16/1/2018,Northern,623.55,644.93,21.38,30.31,32.13,1.82,96.18,105.54,9.36
682,16/1/2018,Western,1125.62,1231.37,105.75,25.19,26.12,0.93,41.22,32.11,-9.11
683,16/1/2018,Southern,636.85,529.73,-107.12,45.38,60.63,15.25,70.04,71,0.96
684,16/1/2018,Eastern,494.84,475.27,-19.57,,,0,21.76,22.7,0.94
685,16/1/2018,NorthEastern,31.88,33.47,1.59,,,0,11.28,6.96,-4.32
686,17/1/2018,Northern,623.55,659.3,35.75,30.31,32.17,1.86,96.18,105.05,8.87
687,17/1/2018,Western,1125.62,1257.74,132.12,25.19,26.19,1,41.22,26.53,-14.69
688,17/1/2018,Southern,636.85,541.54,-95.31,45.38,61.55,16.17,70.04,71.06,1.02
689,17/1/2018,Eastern,484.15,490.72,6.57,,,0,21.76,20.24,-1.52
690,17/1/2018,NorthEastern,31.88,33.53,1.65,,,0,11.28,7.18,-4.1
691,18/1/2018,Northern,623.55,648.54,24.99,30.31,32.13,1.82,96.18,103.61,7.43
692,18/1/2018,Western,1125.62,1254.1,128.48,25.19,26.15,0.96,41.22,20.82,-20.4
693,18/1/2018,Southern,636.85,536.01,-100.84,45.38,61.55,16.17,70.04,69.2,-0.84
694,18/1/2018,Eastern,484.15,492.04,7.89,,,0,21.76,24.34,2.58
695,18/1/2018,NorthEastern,31.88,31.99,0.11,,,0,11.28,7.45,-3.83
696,19/1/2018,Northern,623.55,657.23,33.68,30.31,31.99,1.68,96.18,100.2,4.02
697,19/1/2018,Western,1125.62,1246.84,121.22,25.19,26.15,0.96,41.22,26.83,-14.39
698,19/1/2018,Southern,636.85,540.79,-96.06,45.38,60.66,15.28,70.04,69.36,-0.68
699,19/1/2018,Eastern,484.15,486.65,2.5,,,0,21.76,23.98,2.22
700,19/1/2018,NorthEastern,31.88,31.43,-0.45,,,0,11.28,7.58,-3.7
701,20/1/2018,Northern,619.13,652.49,33.36,30.31,32.02,1.71,96.18,100.83,4.65
